order_id,customer_id,order_date,order_status,payment_method,sales_channel,gross_amount,discount_amount,shipping_fee,final_amount,delivered_date
O00001,C0047,2024-06-10,Delivered,Debit Card,Mobile App,424.15,74.85,49,473.15,2024-06-14
O00002,C0016,2025-02-18,Delivered,Credit Card,Website,349,0,40,389,2025-02-21
O00003,C0191,2025-12-03,Delivered,Credit Card,Website,1467.4,229.6,0,1467.4,2025-12-09
O00004,C0087,2025-08-10,Delivered,Credit Card,Website,663.1,34.9,49,712.1,2025-08-17
O00005,C0211,2025-07-17,Delivered,UPI,Website,1511.35,134.65,0,1511.35,2025-07-23
O00006,C0401,2025-05-11,Delivered,UPI,Website,424.15,74.85,49,473.15,2025-05-13
O00007,C0272,2025-01-01,In Transit,COD,Website,2335.15,59.85,0,2335.15,2025-05-14
O00008,C0434,2025-02-01,Cancelled,Net Banking,Website,1037.2,59.8,0,0,2025-05-15
O00009,C0289,2024-05-25,Delivered,COD,Mobile App,699,0,0,699,2024-05-28
O00010,C0104,2024-05-13,Delivered,Net Banking,Mobile App,649,0,40,689,2024-05-20
O00011,C0492,2024-03-15,Returned,UPI,Website,559.2,139.8,59,618.2,2024-03-23
O00012,C0476,2025-09-20,Delivered,Credit Card,Website,254.15,44.85,59,313.15,2025-09-28
O00013,C0472,2025-09-18,Delivered,COD,Website,690.85,157.15,59,749.85,2025-09-24
O00014,C0355,2024-03-10,Delivered,Debit Card,Website,379.05,19.95,49,428.05,2024-03-14
O00015,C0334,2025-12-04,Delivered,Net Banking,Website,569.05,29.95,49,618.05,2025-12-07
O00016,C0458,2025-05-09,Delivered,Debit Card,Mobile App,449.25,149.75,49,498.25,2025-05-14
O00017,C0374,2025-07-07,Delivered,UPI,Website,1058.15,89.85,0,1058.15,2025-07-12
O00018,C0150,2024-03-24,Delivered,Debit Card,Website,1349.6,47.4,0,1349.6,2024-03-31
O00019,C0078,2025-12-14,Delivered,UPI,Website,2384.7,309.3,0,2384.7,2025-12-20
O00020,C0462,2025-06-13,Delivered,Credit Card,Website,1891.5,304.5,0,1891.5,2025-06-22
O00021,C0164,2025-08-16,Delivered,Net Banking,Website,1741.35,154.65,0,1741.35,2025-08-19
O00022,C0451,2024-12-18,Delivered,Debit Card,Mobile App,584.1,64.9,59,643.1,2024-12-23
O00023,C0382,2025-05-01,Returned,UPI,Mobile App,594.15,104.85,40,634.15,2025-05-10
O00024,C0165,2024-10-02,Delivered,UPI,Website,1723.55,22.45,0,1723.55,2024-10-08
O00025,C0292,2024-10-22,Delivered,Credit Card,Marketplace,1038.1,59.9,0,1038.1,2024-10-26
O00026,C0091,2025-04-30,Delivered,UPI,Mobile App,823.25,174.75,0,823.25,2025-05-07
O00027,C0347,2024-07-30,Delivered,UPI,Mobile App,1063.15,84.85,0,1063.15,2024-08-05
O00028,C0437,2024-12-23,Delivered,UPI,Website,2110.95,484.05,0,2110.95,2024-12-28
O00029,C0142,2025-10-17,Delivered,Debit Card,Marketplace,1412.3,134.7,0,1412.3,2025-10-21
O00030,C0255,2024-10-29,Delivered,UPI,Website,1025.7,122.3,0,1025.7,2024-11-05
O00031,C0260,2024-11-03,Cancelled,Net Banking,Website,594.15,104.85,0,0,1900-01-00
O00032,C0391,2024-07-06,Returned,Debit Card,Website,639.2,159.8,49,688.2,2024-07-09
O00033,C0299,2025-08-17,Delivered,Net Banking,Website,1841.25,154.75,0,1841.25,2025-08-21
O00034,C0250,2024-12-06,Delivered,Debit Card,Website,296.65,52.35,49,345.65,2024-12-12
O00035,C0067,2025-09-21,Delivered,Credit Card,Website,299.25,99.75,49,348.25,2025-09-27
O00036,C0010,2025-10-18,Delivered,Net Banking,Website,449,0,40,489,2025-10-22
O00037,C0069,2024-12-16,Delivered,Debit Card,Website,2225.4,219.6,0,2225.4,2024-12-22
O00038,C0320,2024-02-19,Delivered,UPI,Mobile App,699,0,0,699,2024-02-22
O00039,C0106,2025-12-12,Delivered,Credit Card,Website,426.55,22.45,40,466.55,2025-12-17
O00040,C0145,2024-04-26,Delivered,Credit Card,Mobile App,528.2,69.8,59,587.2,2024-05-04
O00041,C0465,2024-04-23,Delivered,UPI,Website,331.55,17.45,40,371.55,2024-04-27
O00042,C0136,2024-10-22,Cancelled,UPI,Mobile App,1118.4,279.6,0,0,1900-01-00
O00043,C0005,2024-05-21,Delivered,UPI,Website,2047.25,149.75,0,2047.25,2024-05-24
O00044,C0454,2025-10-15,In Transit,Net Banking,Website,1374.15,271.85,0,1374.15,1900-01-00
O00045,C0457,2024-05-13,Delivered,Net Banking,Website,239.2,59.8,59,298.2,2024-05-19
O00046,C0290,2024-08-17,Delivered,UPI,Website,853.1,44.9,0,853.1,2024-08-24
O00047,C0314,2024-10-30,Cancelled,Net Banking,Mobile App,336.75,112.25,0,0,1900-01-00
O00048,C0026,2025-06-03,Delivered,UPI,Website,319.2,79.8,49,368.2,2025-06-07
O00049,C0382,2025-01-27,Delivered,Credit Card,Mobile App,1122.3,124.7,0,1122.3,2025-01-31
O00050,C0419,2024-08-16,Delivered,Debit Card,Mobile App,645.65,52.35,59,704.65,2024-08-24
O00051,C0460,2024-06-17,Cancelled,Debit Card,Website,559.2,139.8,0,0,1900-01-00
O00052,C0111,2025-04-13,Delivered,UPI,Mobile App,449,0,49,498,2025-04-17
O00053,C0259,2024-05-17,Delivered,Debit Card,Mobile App,848.3,149.7,0,848.3,2024-05-24
O00054,C0089,2025-10-24,Delivered,UPI,Mobile App,474.05,24.95,49,523.05,2025-11-01
O00055,C0232,2025-08-18,Delivered,Debit Card,Mobile App,830.65,67.35,0,830.65,2025-08-23
O00056,C0333,2024-07-01,Delivered,UPI,Website,314.1,34.9,49,363.1,2024-07-06
O00057,C0274,2024-10-19,Delivered,UPI,Website,569.05,29.95,40,609.05,2024-10-28
O00058,C0075,2024-03-04,Delivered,Debit Card,Website,1278.3,219.7,0,1278.3,2024-03-07
O00059,C0409,2025-12-13,Delivered,COD,Website,1594,252,0,1594,2025-12-20
O00060,C0332,2025-01-11,Delivered,Credit Card,Mobile App,2161.2,134.8,0,2161.2,2025-01-15
O00061,C0080,2024-11-14,Delivered,COD,Mobile App,855.7,92.3,0,855.7,2024-11-17
O00062,C0207,2024-04-04,Returned,Debit Card,Website,359.1,39.9,59,418.1,2024-04-10
O00063,C0125,2024-02-10,Delivered,COD,Marketplace,319.2,79.8,49,368.2,2024-02-15
O00064,C0250,2024-02-14,Delivered,UPI,Website,224.1,24.9,59,283.1,2024-02-16
O00065,C0397,2024-08-06,Delivered,UPI,Website,598.2,49.8,49,647.2,2024-08-12
O00066,C0286,2024-03-13,Delivered,UPI,Website,853.2,94.8,0,853.2,2024-03-19
O00067,C0359,2024-03-15,Delivered,UPI,Mobile App,1043.15,104.85,0,1043.15,2024-03-18
O00068,C0408,2025-07-12,Delivered,UPI,Mobile App,2747.75,97.25,0,2747.75,2025-07-18
O00069,C0109,2025-02-26,Cancelled,UPI,Website,1133.25,164.75,0,0,1900-01-00
O00070,C0282,2025-04-17,Delivered,Debit Card,Website,948.1,49.9,0,948.1,2025-04-22
O00071,C0163,2025-05-12,Delivered,UPI,Mobile App,1108.05,39.95,0,1108.05,2025-05-18
O00072,C0450,2025-05-06,Delivered,UPI,Mobile App,798.4,199.6,0,798.4,2025-05-09
O00073,C0135,2024-08-10,Cancelled,Debit Card,Mobile App,1637.25,159.75,0,0,1900-01-00
O00074,C0335,2024-06-01,Delivered,Debit Card,Mobile App,331.55,17.45,59,390.55,2024-06-03
O00075,C0229,2025-08-20,Cancelled,UPI,Mobile App,1973.75,122.25,0,0,1900-01-00
O00076,C0470,2025-04-10,Delivered,Debit Card,Website,2037.9,207.1,0,2037.9,2025-04-13
O00077,C0455,2024-10-29,Delivered,UPI,Mobile App,551.65,97.35,40,591.65,2024-11-03
O00078,C0346,2025-05-05,Delivered,Debit Card,Website,699,0,0,699,2025-05-10
O00079,C0076,2024-10-30,In Transit,Credit Card,Mobile App,284.05,14.95,40,324.05,1900-01-00
O00080,C0111,2025-04-04,Delivered,Credit Card,Website,551.65,97.35,59,610.65,2025-04-09
O00081,C0303,2024-03-11,Delivered,UPI,Website,1971.3,174.7,0,1971.3,2024-03-14
O00082,C0067,2025-09-09,Delivered,COD,Mobile App,678.3,119.7,49,727.3,2025-09-12
O00083,C0405,2025-01-25,Delivered,COD,Mobile App,858.3,139.7,0,858.3,2025-01-30
O00084,C0296,2024-08-16,Delivered,Debit Card,Website,616.55,32.45,59,675.55,2024-08-20
O00085,C0387,2024-07-27,Delivered,Credit Card,Website,569.05,29.95,59,628.05,2024-07-31
O00086,C0401,2025-12-17,Delivered,Credit Card,Mobile App,680.7,67.3,40,720.7,2025-12-21
O00087,C0046,2024-03-06,Delivered,Credit Card,Mobile App,2195,0,0,2195,2024-03-13
O00088,C0266,2024-10-19,Delivered,Credit Card,Mobile App,555.8,92.2,49,604.8,2024-10-23
O00089,C0471,2024-04-02,Delivered,Credit Card,Mobile App,299.25,99.75,49,348.25,2024-04-10
O00090,C0134,2024-06-28,Delivered,UPI,Website,1696.6,299.4,0,1696.6,2024-07-04
O00091,C0235,2025-11-28,Delivered,UPI,Website,1144.95,202.05,0,1144.95,2025-12-01
O00092,C0359,2024-09-26,Delivered,Debit Card,Mobile App,426.55,22.45,59,485.55,2024-09-29
O00093,C0350,2024-07-13,Delivered,Debit Card,Mobile App,629.1,69.9,40,669.1,2024-07-19
O00094,C0253,2025-08-10,Cancelled,UPI,Website,1752.2,144.8,0,0,1900-01-00
O00095,C0270,2025-03-09,Delivered,Credit Card,Website,833.1,64.9,0,833.1,2025-03-12
O00096,C0167,2025-01-05,Delivered,Credit Card,Website,404.1,44.9,40,444.1,2025-01-09
O00097,C0187,2025-02-14,Delivered,UPI,Mobile App,664.05,34.95,49,713.05,2025-02-21
O00098,C0091,2025-03-07,In Transit,Net Banking,Website,908.25,139.75,0,908.25,1900-01-00
O00099,C0031,2024-08-08,Delivered,Credit Card,Website,279.2,69.8,49,328.2,2024-08-12
O00100,C0102,2025-08-13,Delivered,UPI,Mobile App,254.15,44.85,40,294.15,2025-08-17
O00101,C0414,2024-12-11,Delivered,UPI,Marketplace,719.1,79.9,0,719.1,2024-12-17
O00102,C0203,2024-10-04,Delivered,COD,Mobile App,279.2,69.8,40,319.2,2024-10-10
O00103,C0482,2025-12-18,Delivered,UPI,Website,1120.05,226.95,0,1120.05,2025-12-22
O00104,C0065,2024-05-14,Delivered,UPI,Website,1896.5,249.5,0,1896.5,2024-05-18
O00105,C0450,2025-07-31,Delivered,Credit Card,Marketplace,569.05,29.95,49,618.05,2025-08-03
O00106,C0177,2024-10-20,Delivered,COD,Marketplace,521.55,27.45,40,561.55,2024-10-26
O00107,C0097,2025-02-25,Delivered,UPI,Mobile App,1043.25,154.75,0,1043.25,2025-03-02
O00108,C0140,2024-10-18,Delivered,UPI,Website,629.1,69.9,49,678.1,2024-10-21
O00109,C0097,2024-08-18,Delivered,COD,Website,399,0,40,439,2024-08-22
O00110,C0191,2025-04-19,Delivered,UPI,Mobile App,539.1,59.9,40,579.1,2025-04-22
O00111,C0419,2025-01-25,Delivered,Debit Card,Website,673.2,74.8,40,713.2,2025-01-29
O00112,C0160,2025-10-15,Delivered,Credit Card,Website,699,0,0,699,2025-10-20
O00113,C0121,2025-10-10,Delivered,Net Banking,Mobile App,1617.3,179.7,0,1617.3,2025-10-15
O00114,C0080,2025-01-15,Delivered,Credit Card,Mobile App,399,0,49,448,2025-01-20
O00115,C0406,2024-10-27,In Transit,Debit Card,Mobile App,938.25,159.75,0,938.25,1900-01-00
O00116,C0249,2025-12-24,Delivered,Debit Card,Website,759.05,39.95,0,759.05,2025-12-31
O00117,C0284,2024-10-29,Delivered,UPI,Website,449,0,40,489,2024-11-03
O00118,C0338,2025-07-05,Delivered,Debit Card,Mobile App,664.05,34.95,40,704.05,2025-07-10
O00119,C0104,2024-04-19,Delivered,Credit Card,Mobile App,725.55,22.45,0,725.55,2024-04-27
O00120,C0240,2025-08-16,Cancelled,Net Banking,Website,1212.1,34.9,0,0,1900-01-00
O00121,C0052,2024-08-24,Delivered,Credit Card,Website,980.55,17.45,0,980.55,2024-08-28
O00122,C0453,2024-10-30,Delivered,UPI,Website,1666.25,129.75,0,1666.25,2024-11-05
O00123,C0131,2025-01-03,Delivered,UPI,Mobile App,2424.45,169.55,0,2424.45,2025-01-08
O00124,C0080,2024-11-07,Delivered,UPI,Mobile App,379.05,19.95,40,419.05,2024-11-13
O00125,C0406,2025-10-24,Delivered,UPI,Mobile App,339.15,59.85,49,388.15,2025-10-28
O00126,C0214,2024-05-03,Delivered,Debit Card,Mobile App,379.05,19.95,40,419.05,2024-05-07
